"X","DISTRICT_NUMBER","DISTRICT","CAMPUS_NUMBER","CAMPUS","REGION","COUNTY","SCHOOL_TYPE","GRADES_SERVED","CHARTER","URBANICITY","NUMBER_OF_STUDENTS","OVERALL_RATING","OVERALL_SCORE","X._ECONOMICALLY_DISADVANTAGED","X._EB.EL_STUDENTS","FREE_LUNCH_QUALIFIED_COUNT","REDUCED.PRICE_LUNCH_QUALIFIED_COUNT","RACE_AMERICAN_INDIAN_OR_ALASKA_NATIVE","RACE_ASIAN","RACE_BLACK_OR_AFRICAN_AMERICAN","RACE_HISPANIC.LATINO","RACE_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","RACE_TWO_OR_MORE_RACES","RACE_WHITE","TEACHERS_COUNT","LAT","LONG","MEDIAN_HOUSEHOLD_INCOME_AREA","ST_SCHID"
6943,108807,"IDEA PUBLIC SCHOOLS",108807096,"IDEA SPORTS PARK COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","High School","09 - 12","Yes","",273,"A","90",0.938,0.568,254,2,0,0,0,470,0,2,74,21.26,NA,NA,NA,"TX-108807-108807096"
6944,108807,"IDEA PUBLIC SCHOOLS",108807097,"IDEA PALMVIEW COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",254,"B","89",0.976,0.602,222,26,0,0,0,486,0,0,22,17.75,NA,NA,NA,"TX-108807-108807097"
6945,108807,"IDEA PUBLIC SCHOOLS",108807098,"IDEA HIDDEN MEADOW COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",266,"B","85",0.827,0.184,168,52,0,16,48,424,2,4,38,14.17,NA,NA,NA,"TX-108807-108807098"
6946,108807,"IDEA PUBLIC SCHOOLS",108807099,"IDEA CONVERSE COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",311,"B","86",0.81,0.164,246,6,2,12,162,346,8,4,88,13.92,NA,NA,NA,"TX-108807-108807099"
6947,108807,"IDEA PUBLIC SCHOOLS",108807101,"IDEA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","Rural",803,"B","83",0.988,0.544,776,17,0,0,0,1550,0,0,56,32.81,26.16755,-98.06391,NA,"TX-108807-108807101"
6948,108807,"IDEA PUBLIC SCHOOLS",108807102,"IDEA QUEST ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",762,"B","87",0.908,0.44,593,99,4,26,6,1410,0,0,78,30.95,NA,NA,NA,"TX-108807-108807102"
6949,108807,"IDEA PUBLIC SCHOOLS",108807103,"IDEA FRONTIER ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",818,"A","91",0.945,0.691,740,33,0,0,2,1604,0,0,30,34.18,NA,NA,NA,"TX-108807-108807103"
6950,108807,"IDEA PUBLIC SCHOOLS",108807104,"IDEA ACADEMY MISSION","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",831,"C","79",0.948,0.659,647,141,0,6,6,1618,0,0,32,33.44,NA,NA,NA,"TX-108807-108807104"
6951,108807,"IDEA PUBLIC SCHOOLS",108807105,"IDEA ACADEMY SAN BENITO","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",799,"A","91",0.866,0.352,671,21,2,10,0,1528,0,0,58,34.73,NA,NA,NA,"TX-108807-108807105"
6952,108807,"IDEA PUBLIC SCHOOLS",108807106,"IDEA ACADEMY SAN JUAN","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",796,"C","75",0.908,0.602,572,151,0,6,2,1532,0,2,50,33.65,NA,NA,NA,"TX-108807-108807106"
6953,108807,"IDEA PUBLIC SCHOOLS",108807107,"IDEA ACADEMY ALAMO","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",803,"D","69",0.965,0.695,751,24,0,0,0,1546,0,2,58,34.82,NA,NA,NA,"TX-108807-108807107"
6954,108807,"IDEA PUBLIC SCHOOLS",108807108,"IDEA ACADEMY PHARR","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",812,"B","81",0.967,0.895,702,83,0,0,0,1612,0,0,12,32.69,NA,NA,NA,"TX-108807-108807108"
6955,108807,"IDEA PUBLIC SCHOOLS",108807109,"IDEA EDINBURG ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",830,"C","78",0.866,0.492,608,111,0,16,20,1578,4,2,40,33,NA,NA,NA,"TX-108807-108807109"
6956,108807,"IDEA PUBLIC SCHOOLS",108807110,"IDEA ACADEMY WESLACO","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",697,"C","78",0.933,0.38,637,13,0,0,12,1324,0,2,56,29.28,NA,NA,NA,"TX-108807-108807110"
6957,108807,"IDEA PUBLIC SCHOOLS",108807111,"IDEA MCALLEN ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",887,"B","86",0.835,0.651,632,109,0,28,8,1658,0,0,80,33.94,NA,NA,NA,"TX-108807-108807111"
6958,108807,"IDEA PUBLIC SCHOOLS",108807112,"IDEA BROWNSVILLE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",700,"A","91",0.84,0.559,565,23,0,8,2,1338,0,2,50,31.4,NA,NA,NA,"TX-108807-108807112"
6959,108807,"IDEA PUBLIC SCHOOLS",108807113,"IDEA WESLACO PIKE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",838,"A","91",0.884,0.437,713,28,2,8,2,1644,0,0,20,33.6,NA,NA,NA,"TX-108807-108807113"
6960,108807,"IDEA PUBLIC SCHOOLS",108807114,"IDEA RIVERVIEW ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",830,"A","91",0.964,0.78,780,20,0,4,0,1608,0,0,48,34.18,NA,NA,NA,"TX-108807-108807114"
6961,108807,"IDEA PUBLIC SCHOOLS",108807115,"IDEA NORTH MISSION ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",867,"B","87",0.922,0.543,489,310,0,2,4,1692,0,0,36,41.84,NA,NA,NA,"TX-108807-108807115"
6962,108807,"IDEA PUBLIC SCHOOLS",108807116,"IDEA RIO GRANDE CITY ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",825,"B","85",0.891,0.688,340,395,0,4,0,1600,0,0,46,36.09,NA,NA,NA,"TX-108807-108807116"
6963,108807,"IDEA PUBLIC SCHOOLS",108807117,"IDEA TRES LAGOS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",810,"B","85",0.865,0.54,329,372,0,28,18,1484,4,2,84,36.4,NA,NA,NA,"TX-108807-108807117"
6964,108807,"IDEA PUBLIC SCHOOLS",108807119,"IDEA ELSA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",805,"C","75",0.948,0.529,453,310,0,0,0,1524,0,0,86,31.93,NA,NA,NA,"TX-108807-108807119"
6965,108807,"IDEA PUBLIC SCHOOLS",108807120,"IDEA CARVER ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",574,"B","87",0.895,0.089,491,23,0,4,94,968,4,2,76,26,NA,NA,NA,"TX-108807-108807120"
6966,108807,"IDEA PUBLIC SCHOOLS",108807121,"IDEA SOUTH FLORES ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",731,"C","79",0.796,0.155,487,95,0,8,20,1366,2,8,58,32.29,NA,NA,NA,"TX-108807-108807121"
6967,108807,"IDEA PUBLIC SCHOOLS",108807122,"IDEA MONTERREY PARK ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",663,"D","66",0.903,0.216,582,17,2,12,24,1238,4,8,38,26.24,NA,NA,NA,"TX-108807-108807122"
6968,108807,"IDEA PUBLIC SCHOOLS",108807123,"IDEA WALZEM ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",735,"B","81",0.844,0.18,601,19,8,34,354,926,14,40,94,29.75,NA,NA,NA,"TX-108807-108807123"
6969,108807,"IDEA PUBLIC SCHOOLS",108807124,"IDEA EASTSIDE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",494,"C","70",0.957,0.247,460,13,0,0,208,748,0,10,22,22.77,NA,NA,NA,"TX-108807-108807124"
6970,108807,"IDEA PUBLIC SCHOOLS",108807125,"IDEA JUDSON ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",687,"B","86",0.769,0.169,500,28,0,28,248,904,4,34,156,29,NA,NA,NA,"TX-108807-108807125"
6971,108807,"IDEA PUBLIC SCHOOLS",108807126,"IDEA MAYS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",689,"A","91",0.727,0.123,402,99,2,22,146,1080,6,22,100,34.35,NA,NA,NA,"TX-108807-108807126"
6972,108807,"IDEA PUBLIC SCHOOLS",108807127,"IDEA NAJIM ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",640,"D","67",0.933,0.191,575,22,2,8,428,798,2,10,32,27.52,NA,NA,NA,"TX-108807-108807127"
6973,108807,"IDEA PUBLIC SCHOOLS",108807128,"IDEA BRACKENRIDGE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",707,"C","73",0.857,0.25,244,362,4,4,62,1256,0,16,72,27.81,NA,NA,NA,"TX-108807-108807128"
6974,108807,"IDEA PUBLIC SCHOOLS",108807129,"IDEA EWING HALSELL ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",698,"C","78",0.804,0.149,495,66,4,6,32,1266,0,0,88,31.29,NA,NA,NA,"TX-108807-108807129"
6975,108807,"IDEA PUBLIC SCHOOLS",108807130,"IDEA INGRAM HILLS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",693,"B","80",0.846,0.14,335,251,0,16,86,1144,0,14,126,29.42,NA,NA,NA,"TX-108807-108807130"
6976,108807,"IDEA PUBLIC SCHOOLS",108807135,"IDEA MONTOPOLIS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",694,"B","87",0.934,0.61,617,31,2,6,90,1218,2,8,62,31.42,NA,NA,NA,"TX-108807-108807135"
6977,108807,"IDEA PUBLIC SCHOOLS",108807136,"IDEA RUNDBERG ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",682,"B","89",0.965,0.754,633,25,0,2,96,1218,4,2,42,30.91,NA,NA,NA,"TX-108807-108807136"
6978,108807,"IDEA PUBLIC SCHOOLS",108807137,"IDEA BLUFF SPRINGS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",634,"B","88",0.844,0.475,506,29,6,14,102,1040,2,10,94,32.56,NA,NA,NA,"TX-108807-108807137"
6979,108807,"IDEA PUBLIC SCHOOLS",108807138,"IDEA PFLUGERVILLE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",667,"B","89",0.78,0.453,500,20,0,72,236,834,2,26,164,34.79,NA,NA,NA,"TX-108807-108807138"
6980,108807,"IDEA PUBLIC SCHOOLS",108807139,"IDEA KYLE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",684,"B","84",0.705,0.311,450,32,2,18,56,1072,6,10,204,28.29,NA,NA,NA,"TX-108807-108807139"
6981,108807,"IDEA PUBLIC SCHOOLS",108807140,"IDEA RIO VISTA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",828,"D","68",0.907,0.551,732,19,2,2,22,1556,0,6,68,34.08,NA,NA,NA,"TX-108807-108807140"
6982,108807,"IDEA PUBLIC SCHOOLS",108807183,"IDEA OWASSA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",810,"B","89",0.875,0.506,569,140,0,22,20,1482,4,4,88,34.06,NA,NA,NA,"TX-108807-108807183"
6983,108807,"IDEA PUBLIC SCHOOLS",108807184,"IDEA EDGEMERE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",974,"B","88",0.711,0.296,654,39,4,26,86,1620,2,18,192,43.26,NA,NA,NA,"TX-108807-108807184"
6984,108807,"IDEA PUBLIC SCHOOLS",108807185,"IDEA MESA HILLS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 04","Yes","",739,"C","73",0.819,0.414,587,18,0,8,66,1264,6,16,118,29.77,NA,NA,NA,"TX-108807-108807185"
6985,108807,"IDEA PUBLIC SCHOOLS",108807186,"IDEA RISE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",698,"C","77",0.93,0.235,558,91,8,26,544,706,2,12,98,30.9,NA,NA,NA,"TX-108807-108807186"
6986,108807,"IDEA PUBLIC SCHOOLS",108807187,"IDEA ACHIEVE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",645,"C","79",0.885,0.332,506,65,6,34,314,786,0,22,128,30.8,NA,NA,NA,"TX-108807-108807187"
6987,108807,"IDEA PUBLIC SCHOOLS",108807188,"IDEA ROBINDALE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",718,"C","78",0.918,0.496,646,13,0,6,2,1352,0,0,76,34,NA,NA,NA,"TX-108807-108807188"
6988,108807,"IDEA PUBLIC SCHOOLS",108807189,"IDEA LOS ENCINOS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 04","Yes","",743,"B","85",0.933,0.824,577,116,4,10,0,1386,0,0,86,30,NA,NA,NA,"TX-108807-108807189"
6989,108807,"IDEA PUBLIC SCHOOLS",108807190,"IDEA PARMER PARK ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",675,"C","73",0.87,0.462,560,27,2,60,266,904,4,18,96,29.05,NA,NA,NA,"TX-108807-108807190"
6990,108807,"IDEA PUBLIC SCHOOLS",108807191,"IDEA HEALTH PROFESSIONS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",286,"D","66",0.885,0.406,247,6,0,4,116,406,0,4,42,18.95,NA,NA,NA,"TX-108807-108807191"
6991,108807,"IDEA PUBLIC SCHOOLS",108807192,"IDEA BURKE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 04","Yes","",610,"B","81",0.69,0.13,292,129,4,26,154,900,0,16,120,25.96,NA,NA,NA,"TX-108807-108807192"
6992,108807,"IDEA PUBLIC SCHOOLS",108807193,"IDEA HARDY ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",726,"F","59",0.977,0.51,685,24,0,0,260,1160,0,2,30,27.65,NA,NA,NA,"TX-108807-108807193"
6993,108807,"IDEA PUBLIC SCHOOLS",108807194,"IDEA SPEARS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",741,"D","63",0.931,0.351,662,28,4,8,650,782,4,8,26,30.59,NA,NA,NA,"TX-108807-108807194"
6994,108807,"IDEA PUBLIC SCHOOLS",108807195,"IDEA HARLINGEN ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",607,"C","76",0.898,0.262,545,0,0,2,10,1120,0,4,78,29.76,NA,NA,NA,"TX-108807-108807195"
6995,108807,"IDEA PUBLIC SCHOOLS",108807196,"IDEA SPORTS PARK ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 04","Yes","",481,"C","77",0.892,0.565,414,15,0,6,0,876,2,2,76,27.89,NA,NA,NA,"TX-108807-108807196"
6996,108807,"IDEA PUBLIC SCHOOLS",108807197,"IDEA PALMVIEW ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",628,"F","59",0.97,0.599,518,91,2,0,0,1214,0,0,40,28.92,NA,NA,NA,"TX-108807-108807197"
6997,108807,"IDEA PUBLIC SCHOOLS",108807198,"IDEA HIDDEN MEADOW ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",457,"A","91",0.709,0.116,204,120,6,14,104,656,2,8,124,20.97,NA,NA,NA,"TX-108807-108807198"
6998,108807,"IDEA PUBLIC SCHOOLS",108807199,"IDEA CONVERSE ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",487,"B","84",0.747,0.158,346,18,4,8,228,594,4,8,128,21,NA,NA,NA,"TX-108807-108807199"
6999,108807,"IDEA PUBLIC SCHOOLS",108807200,"IDEA ROUND ROCK TECH COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",340,"A","91",0.712,0.312,234,8,0,40,176,356,0,4,104,17.41,NA,NA,NA,"TX-108807-108807200"
7000,108807,"IDEA PUBLIC SCHOOLS",108807201,"IDEA HORIZON VISTA COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",308,"B","85",0.831,0.571,248,8,0,0,8,586,0,0,22,14.82,NA,NA,NA,"TX-108807-108807201"
7001,108807,"IDEA PUBLIC SCHOOLS",108807202,"IDEA EDGECLIFF COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","Yes","",367,"A","91",0.902,0.441,289,42,4,26,204,460,0,2,38,14.05,NA,NA,NA,"TX-108807-108807202"
7002,108807,"IDEA PUBLIC SCHOOLS",108807203,"IDEA LA JOYA COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",158,"B","83",0.93,0.709,129,18,4,0,0,306,0,0,6,11.63,NA,NA,NA,"TX-108807-108807203"
7003,108807,"IDEA PUBLIC SCHOOLS",108807204,"IDEA AMBROSE AND FREDA ROBINSON COLLEGE PREPARATOR","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",120,"A","92",0.842,0.117,75,26,2,2,34,174,4,0,24,6.34,NA,NA,NA,"TX-108807-108807204"
7004,108807,"IDEA PUBLIC SCHOOLS",108807205,"IDEA MESQUITE HILLS COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",201,"A","92",0.826,0.274,160,6,0,10,26,324,4,4,34,10,NA,NA,NA,"TX-108807-108807205"
7005,108807,"IDEA PUBLIC SCHOOLS",108807206,"IDEA SOUTHEAST COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",243,"B","86",0.963,0.514,208,26,0,12,128,334,0,0,12,10.16,NA,NA,NA,"TX-108807-108807206"
7006,108807,"IDEA PUBLIC SCHOOLS",108807207,"IDEA LAKE HOUSTON COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",261,"A","90",0.92,0.487,234,6,2,4,78,430,2,6,0,12,NA,NA,NA,"TX-108807-108807207"
7007,108807,"IDEA PUBLIC SCHOOLS",108807208,"IDEA YUKON COLLEGE PREPARATORY","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 07","Yes","",244,"A","91",0.578,0.152,136,5,2,4,28,346,4,2,102,9.59,NA,NA,NA,"TX-108807-108807208"
7008,108807,"IDEA PUBLIC SCHOOLS",108807300,"IDEA ROUND ROCK TECH ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 05","Yes","",673,"A","92",0.661,0.279,428,17,6,120,330,674,0,18,198,31.99,NA,NA,NA,"TX-108807-108807300"
7009,108807,"IDEA PUBLIC SCHOOLS",108807301,"IDEA HORIZON VISTA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 04","Yes","",673,"C","77",0.86,0.47,541,38,0,0,16,1278,0,0,52,23.04,NA,NA,NA,"TX-108807-108807301"
7010,108807,"IDEA PUBLIC SCHOOLS",108807302,"IDEA EDGECLIFF ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 04","Yes","",606,"C","77",0.904,0.29,492,56,2,34,406,674,2,10,84,29,NA,NA,NA,"TX-108807-108807302"
7011,108807,"IDEA PUBLIC SCHOOLS",108807303,"IDEA LA JOYA ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",383,"C","70",0.953,0.548,324,41,0,0,0,760,0,0,6,20.91,NA,NA,NA,"TX-108807-108807303"
7012,108807,"IDEA PUBLIC SCHOOLS",108807304,"IDEA AMBROSE AND FREDA ROBINSON ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 02","Yes","",328,"Not Rated",".",0.774,0.098,227,27,0,4,110,476,4,8,54,13.49,NA,NA,NA,"TX-108807-108807304"
7013,108807,"IDEA PUBLIC SCHOOLS",108807305,"IDEA MESQUITE HILLS ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 03","Yes","",505,"B","83",0.822,0.216,401,14,4,14,86,814,8,8,76,22.41,NA,NA,NA,"TX-108807-108807305"
7014,108807,"IDEA PUBLIC SCHOOLS",108807306,"IDEA SOUTHEAST ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",454,"C","74",0.963,0.421,386,51,2,8,306,570,0,0,22,20.24,NA,NA,NA,"TX-108807-108807306"
7015,108807,"IDEA PUBLIC SCHOOLS",108807307,"IDEA LAKE HOUSTON ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",494,"D","61",0.917,0.374,437,16,0,2,274,690,2,0,20,18.6,NA,NA,NA,"TX-108807-108807307"
7016,108807,"IDEA PUBLIC SCHOOLS",108807308,"IDEA YUKON ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","KG - 03","Yes","",475,"C","72",0.571,0.101,248,23,2,24,74,656,4,2,188,21.03,NA,NA,NA,"TX-108807-108807308"
7017,108808,"VANGUARD ACADEMY",108808101,"VANGUARD REMBRANDT","REGION 01: EDINBURG","HIDALGO","Elem/Secondary","PK - 12","Yes","",1873,"A","94",0.762,0.451,1377,51,0,2,8,3702,0,4,30,131.05,NA,NA,NA,"TX-108808-108808101"
7018,108808,"VANGUARD ACADEMY",108808103,"VANGUARD PICASSO","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","Yes","",563,"A","91",0.819,0.552,444,17,0,2,0,1118,0,0,6,35.3,NA,NA,NA,"TX-108808-108808103"
7019,108808,"VANGUARD ACADEMY",108808104,"VANGUARD MOZART","REGION 01: EDINBURG","HIDALGO","Elem/Secondary","PK - 12","Yes","",1178,"A","95",0.84,0.504,961,28,0,0,0,2326,0,0,30,79.51,NA,NA,NA,"TX-108808-108808104"
7020,108808,"VANGUARD ACADEMY",108808105,"VANGUARD BEETHOVEN","REGION 01: EDINBURG","HIDALGO","Elem/Secondary","PK - 12","Yes","",1524,"A","91",0.653,0.395,959,36,0,16,12,2992,0,2,26,96.26,NA,NA,NA,"TX-108808-108808105"
7021,108808,"VANGUARD ACADEMY",108808106,"VANGUARD VAN GOGH","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 07","Yes","",812,"B","87",0.794,0.756,628,17,0,2,0,1594,0,0,28,50.84,NA,NA,NA,"TX-108808-108808106"
7022,108809,"EXCELLENCE IN LEADERSHIP ACADEMY",108809001,"EXCELLENCE IN LEADERSHIP ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 08","Yes","",263,"C","73",0.859,0.681,218,8,0,0,0,526,0,0,0,23.09,NA,NA,NA,"TX-108809-108809001"
7023,108902,"DONNA ISD",108902001,"DONNA H S","REGION 01: EDINBURG","HIDALGO","High School","09 - 12","No","",2095,"C","71",0.924,0.427,1891,45,0,2,0,4172,0,2,14,143.95,NA,NA,NA,"TX-108902-108902001"
7024,108902,"DONNA ISD",108902007,"DONNA NORTH H S","REGION 01: EDINBURG","HIDALGO","High School","09 - 12","No","",2091,"C","74",0.996,0.611,2064,18,0,0,2,4178,0,0,2,147.27,NA,NA,NA,"TX-108902-108902007"
7025,108902,"DONNA ISD",108902045,"A P SOLIS MIDDLE","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","No","",666,"A","91",0.929,0.542,613,6,2,0,0,1326,0,0,4,54.29,NA,NA,NA,"TX-108902-108902045"
7026,108902,"DONNA ISD",108902046,"VETERANS MIDDLE","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","No","",894,"D","69",1,0.742,885,9,0,0,0,1782,0,0,6,60.37,NA,NA,NA,"TX-108902-108902046"
7027,108902,"DONNA ISD",108902047,"DORA M SAUCEDA MIDDLE","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","No","",660,"D","69",0.998,0.691,653,6,0,2,2,1310,0,0,6,51.81,NA,NA,NA,"TX-108902-108902047"
7028,108902,"DONNA ISD",108902048,"W A TODD MIDDLE","REGION 01: EDINBURG","HIDALGO","Middle School","06 - 08","No","",693,"B","86",0.918,0.384,625,11,0,0,0,1384,0,2,0,54.24,NA,NA,NA,"TX-108902-108902048"
7029,108902,"DONNA ISD",108902102,"GUZMAN EL","REGION 01: EDINBURG","HIDALGO","Elementary","EE - 05","No","",376,"D","69",0.984,0.402,370,0,0,2,0,748,0,0,2,21.59,NA,NA,NA,"TX-108902-108902102"
7030,108902,"DONNA ISD",108902103,"T PRICE EL","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","No","Suburban",417,"C","77",0.966,0.422,393,10,6,0,0,822,0,4,2,26.01,26.17088,-98.05289,NA,"TX-108902-108902103"
7031,108902,"DONNA ISD",108902104,"A M OCHOA EL","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","No","Suburban",360,"C","78",0.942,0.439,333,6,0,0,0,716,0,0,4,23.57,26.16558,-98.05255,NA,"TX-108902-108902104"
7032,108902,"DONNA ISD",108902106,"C STAINKE EL","REGION 01: EDINBURG","HIDALGO","Elementary","EE - 05","No","Suburban",583,"C","74",0.955,0.501,555,7,0,0,0,1170,0,0,6,32.75,26.16418,-98.04268,NA,"TX-108902-108902106"
7033,108902,"DONNA ISD",108902109,"J W CACERES DISCOVERY INT ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","01 - 05","No","",262,"D","64",0.958,0.622,246,5,0,0,0,520,0,0,4,20.06,NA,NA,NA,"TX-108902-108902109"
7034,108902,"DONNA ISD",108902111,"M RIVAS PRI DISCOVERY ACADEMY","REGION 01: EDINBURG","HIDALGO","Elementary","EE - 02","No","",349,"D","64",0.928,0.521,316,8,0,0,0,698,0,0,0,21.35,NA,NA,NA,"TX-108902-108902111"
7035,108902,"DONNA ISD",108902112,"CAPT D SALINAS II EL","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","No","",416,"B","85",0.957,0.63,395,3,0,0,0,832,0,0,0,28.76,NA,NA,NA,"TX-108902-108902112"
7036,108902,"DONNA ISD",108902113,"PATRICIA S GARZA EL","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","No","",542,"D","69",1,0.705,534,8,0,0,2,1078,0,0,4,34.36,NA,NA,NA,"TX-108902-108902113"
7037,108902,"DONNA ISD",108902114,"MARIA ALICIA P MUNOZ EL","REGION 01: EDINBURG","HIDALGO","Elementary","EE - 05","No","",754,"D","69",0.976,0.731,725,11,0,0,0,1508,0,0,0,40.85,NA,NA,NA,"TX-108902-108902114"
7038,108902,"DONNA ISD",108902115,"LE NOIR EL","REGION 01: EDINBURG","HIDALGO","Elementary","PK - 05","No","",413,"F","51",0.874,0.308,357,4,0,0,0,822,0,0,4,25.1,NA,NA,NA,"TX-108902-108902115"
